B62 9SP,52.457507,-2.019338,203,2,1,02/01/2012,1,01/04/2012 00:00,7,1,2BLOC1,2BLOC1 - Sewer Blockage,398783,284395
,,,,,,,,,,,,,,
B21 9NY,52.510244,-1.935185,134,2,1,02/01/2012,1,26/04/2012 00:00,6,1,2BLOC1,2BLOC1 - Sewer Blockage,404496,290263
,,,,,,,,,,,,,,
WS9 8HB,52.616663,-1.916212,175,8,1,02/01/2012,1,26/04/2012 00:00,10,3,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,405770,302102
,,,,,,,,,,,,,,
B67 5DG,52.475134,-1.970894,189,8,2,02/01/2012,1,26/04/2012 00:00,10,1,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,402074,286356
,,,,,,,,,,,,,,
B18 4RE,52.495159,-1.935119,142,8,4,02/01/2012,1,26/04/2012 00:00,10,1,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,404502,288585
,,,,,,,,,,,,,,
B45 8EL,52.390425,-2.008626,217,2,1,02/01/2012,1,26/04/2012 00:00,6,3,2BLOC1,2BLOC1 - Sewer Blockage,399510,276933
,,,,,,,,,,,,,,
B90 2AZ,52.404711,-1.834666,144,3,2,02/01/2012,1,26/04/2012 00:00,6,1,2BLOC1,2BLOC1 - Sewer Blockage,411345,278535
,,,,,,,,,,,,,,
B34 7QX,52.491248,-1.778552,95,2,4,02/01/2012,1,26/04/2012 00:00,7,3,12TBLT1,12TBLT1 - Transf Blockage Restricting Toilet Use,415133,288171
,,,,,,,,,,,,,,
B90 3BD,52.413755,-1.828383,148,8,1,02/01/2012,1,26/04/2012 00:00,10,3,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,411770,279542
,,,,,,,,,,,,,,
WV12 5UB,52.608185,-2.052602,150,8,1,02/01/2012,1,30/04/2012 00:00,10,1,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,396535,301157
,,,,,,,,,,,,,,
WS10 8PL,52.573785,-2.044519,129,2,1,03/01/2012,1,01/05/2012 00:00,7,3,12TBLT1,12TBLT1 - Transf Blockage Restricting Toilet Use,397080,297330
,,,,,,,,,,,,,,
B69 2BH,52.500989,-2.031201,167,1,1,03/01/2012,1,01/05/2012 00:00,7,3,12TEHP1,12TEHP1 - Transf External Flood Highway/Footpath,397979,289232
,,,,,,,,,,,,,,
DY5 2PU,52.46338,-2.129288,116,4,1,03/01/2012,1,02/05/2012 00:00,7,3,12TBLC1,12TBLC1 - Transf Sewer Blockage,391313,285056
,,,,,,,,,,,,,,
WV10 9TZ,52.612647,-2.121621,133,2,1,03/01/2012,1,01/05/2012 00:00,6,1,2BLOT1,2BLOT1 - Sewer Blockage Restricted Toilet Use,391862,301659
,,,,,,,,,,,,,,
WV12 4JS,52.600765,-2.040013,145,8,1,03/01/2012,1,01/05/2012 00:00,10,3,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,397387,300331
,,,,,,,,,,,,,,
WV2 3AG,52.574848,-2.127669,159,1,1,03/01/2012,1,01/05/2012 00:00,6,1,2EXFL1,2EXFL1 - External Flooding Property Boundary,391445,297455
,,,,,,,,,,,,,,
DY8 4YW,52.471043,-2.156354,76,2,2,03/01/2012,1,01/05/2012 00:00,6,1,2BLOR1,2BLOR1 - Sewer Blockage Repeat,389476,285912
,,,,,,,,,,,,,,
