B19 3BL,52.492462,-1.908303,126,2,1,01/01/2013,1,02/01/2013 00:00,7,3,12TBLT1,12TBLT1 - Transf Blockage Restricting Toilet Use,406323,288287
,,,,,,,,,,,,,,
WV11 3EH,52.609476,-2.059898,148,2,1,01/01/2013,1,02/01/2013 00:00,7,3,2EXFL1,2EXFL1 - External Flooding Property Boundary,396041,301301
,,,,,,,,,,,,,,
WS3 2BT,52.610273,-1.999115,159,2,1,01/01/2013,1,03/01/2013 00:00,6,1,2BLOC1,2BLOC1 - Sewer Blockage,400157,301388
,,,,,,,,,,,,,,
B21 0RW,52.500988,-1.941533,138,2,1,01/01/2013,1,03/01/2013 00:00,7,3,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,404066,289233
,,,,,,,,,,,,,,
B20 1JX,52.528171,-1.937635,129,5,1,01/01/2013,1,01/01/2013 00:00,3,3,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,404328,292257
,,,,,,,,,,,,,,
WV11 3RT,52.604962,-2.063052,140,2,1,01/01/2013,1,01/01/2013 00:00,6,1,2BLOC1,2BLOC1 - Sewer Blockage,395827,300799
,,,,,,,,,,,,,,
B21 9LA,52.508291,-1.931799,129,2,1,01/01/2013,1,01/01/2013 00:00,6,11,2INCG2,2INCG2 - Internal Flooding Integral Cellar/Garage,404726,290046
,,,,,,,,,,,,,,
B43 7ER,52.5536,-1.904931,149,2,1,01/01/2013,1,01/01/2013 00:00,3,1,2EXFH1,2EXFH1 - External Flooding Highway/Footpath,406543,295088
,,,,,,,,,,,,,,
B31 1QH,52.416863,-1.978004,172,2,1,01/01/2013,1,01/01/2013 00:00,3,1,2BLOC1,2BLOC1 - Sewer Blockage,401593,279874
,,,,,,,,,,,,,,
B36 8QR,52.50521,-1.815785,93,2,1,01/01/2013,1,04/01/2013 00:00,7,3,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,412601,289717
,,,,,,,,,,,,,,
B67 7EA,52.493393,-1.969792,163,2,1,01/01/2013,1,01/01/2013 00:00,7,3,12TEFR1,12TEFR1 - Transf External Flood Prop Boundary Rep,402148,288387
,,,,,,,,,,,,,,
B16 9EU,52.479092,-1.931771,151,2,1,01/01/2013,1,01/01/2013 00:00,7,3,12TBLC1,12TBLC1 - Transf Sewer Blockage,404731,286798
,,,,,,,,,,,,,,
B14 6NA,52.418185,-1.906398,150,6,1,01/01/2013,1,04/01/2013 00:00,7,3,12TEFL1,12TEFL1 - Transf External Flooding Prop Boundary,406463,280025
,,,,,,,,,,,,,,
